Date,Value,Anomaly
189512,51.2,-1.7
189601,51.4,-1.4
189602,51.8,-1.0
189603,51.9,-0.9
189604,51.9,-1.0
189605,52.2,-0.7
189606,52.7,-0.2
189607,52.8,-0.1
189608,53.0,0.1
189609,53.0,0.1
189610,53.0,0.1
189611,53.3,0.5
189612,53.8,0.9
189701,53.3,0.5
189702,53.4,0.6
189703,53.1,0.3
189704,53.1,0.2
189705,53.0,0.1
189706,52.6,-0.3
189707,52.6,-0.3
189708,52.5,-0.4
189709,52.6,-0.3
189710,52.7,-0.2
189711,52.9,0.1
189712,52.5,-0.4
189801,52.5,-0.3
189802,52.9,0.1
189803,52.9,0.1
189804,53.0,0.1
189805,52.8,-0.1
189806,52.8,-0.1
189807,52.9,0.0
189808,53.0,0.1
189809,52.9,0.0
189810,52.9,0.0
189811,52.5,-0.3
189812,52.1,-0.8
189901,52.1,-0.7
189902,51.5,-1.3
189903,51.7,-1.1
189904,51.6,-1.3
189905,51.5,-1.4
189906,51.5,-1.4
189907,51.5,-1.4
189908,51.6,-1.3
189909,51.7,-1.2
189910,51.7,-1.2
189911,52.0,-0.8
189912,52.5,-0.4
190001,53.0,0.2
190002,53.4,0.6
190003,53.6,0.8
190004,53.2,0.3
190005,53.3,0.4
190006,53.5,0.6
190007,53.6,0.7
190008,53.6,0.7
190009,53.5,0.6
190010,53.6,0.7
190011,53.7,0.9
190012,53.7,0.8
190101,53.6,0.8
190102,53.6,0.8
190103,53.3,0.5
190104,53.4,0.5
190105,53.4,0.5
190106,53.2,0.3
190107,53.2,0.3
190108,53.3,0.4
190109,53.4,0.5
190110,53.4,0.5
190111,53.4,0.6
190112,53.4,0.5
190201,53.4,0.6
190202,53.5,0.7
190203,53.3,0.5
190204,53.7,0.8
190205,53.7,0.8
190206,54.0,1.1
190207,53.7,0.8
190208,53.5,0.6
190209,53.4,0.5
190210,53.4,0.5
190211,53.2,0.4
190212,53.1,0.2
190301,53.1,0.3
190302,52.4,-0.4
190303,52.5,-0.3
190304,52.2,-0.7
190305,52.0,-0.9
190306,51.4,-1.5
190307,51.7,-1.2
190308,51.8,-1.1
190309,51.8,-1.1
190310,51.6,-1.3
190311,51.8,-1.0
190312,51.8,-1.1
190401,51.5,-1.3
190402,52.4,-0.4
190403,52.9,0.1
190404,53.1,0.2
190405,53.3,0.4
190406,53.5,0.6
190407,53.3,0.4
190408,53.2,0.3
190409,53.2,0.3
190410,53.2,0.3
190411,53.0,0.2
190412,53.0,0.1
190501,53.2,0.4
190502,52.5,-0.3
190503,52.3,-0.5
190504,52.0,-0.9
190505,51.9,-1.0
190506,52.1,-0.8
190507,51.9,-1.0
190508,52.0,-0.9
190509,52.0,-0.9
190510,52.0,-0.9
190511,52.1,-0.7
190512,51.7,-1.2
190601,51.6,-1.2
190602,52.0,-0.8
190603,51.8,-1.0
190604,52.0,-0.9
190605,52.0,-0.9
190606,52.0,-0.9
190607,52.0,-0.9
190608,51.7,-1.2
190609,51.6,-1.3
190610,51.6,-1.3
190611,51.3,-1.5
190612,52.2,-0.7
190701,52.6,-0.2
190702,53.0,0.2
190703,53.4,0.6
190704,53.5,0.6
190705,53.1,0.2
190706,52.8,-0.1
190707,53.0,0.1
190708,53.2,0.3
190709,53.2,0.3
190710,53.4,0.5
190711,53.4,0.6
190712,53.2,0.3
190801,53.0,0.2
190802,52.5,-0.3
190803,52.4,-0.4
190804,52.5,-0.4
190805,52.6,-0.3
190806,52.8,-0.1
190807,52.7,-0.2
190808,52.6,-0.3
190809,52.5,-0.4
190810,52.2,-0.7
190811,52.2,-0.6
190812,52.1,-0.8
190901,52.5,-0.3
190902,52.5,-0.3
190903,51.9,-0.9
190904,51.8,-1.1
190905,51.8,-1.1
190906,52.0,-0.9
190907,52.2,-0.7
190908,52.4,-0.5
190909,52.4,-0.5
190910,52.7,-0.2
190911,53.1,0.3
190912,52.4,-0.5
191001,52.1,-0.7
191002,51.9,-0.9
191003,52.7,-0.1
191004,52.9,0.0
191005,53.2,0.3
191006,53.3,0.4
191007,53.4,0.5
191008,53.5,0.6
191009,53.8,0.9
191010,53.8,0.9
191011,53.9,1.1
191012,54.7,1.8
191101,55.1,2.3
191102,55.2,2.4
191103,55.0,2.2
191104,55.0,2.1
191105,54.9,2.0
191106,54.8,1.9
191107,54.4,1.5
191108,54.4,1.5
191109,54.4,1.5
191110,54.3,1.4
191111,53.7,0.9
191112,53.0,0.1
191201,52.4,-0.4
191202,52.3,-0.5
191203,51.8,-1.0
191204,51.4,-1.5
191205,51.3,-1.6
191206,51.1,-1.8
191207,51.3,-1.6
191208,51.2,-1.7
191209,50.6,-2.3
191210,50.6,-2.3
191211,50.7,-2.1
191212,50.8,-2.1
191301,50.4,-2.4
191302,50.3,-2.5
191303,50.2,-2.6
191304,50.4,-2.5
191305,50.5,-2.4
191306,50.4,-2.5
191307,50.5,-2.4
191308,50.5,-2.4
191309,50.5,-2.4
191310,50.5,-2.4
191311,50.9,-1.9
191312,51.0,-1.9
191401,51.7,-1.1
191402,51.9,-0.9
191403,52.2,-0.6
191404,52.3,-0.6
191405,52.3,-0.6
191406,52.5,-0.4
191407,52.3,-0.6
191408,52.3,-0.6
191409,52.7,-0.2
191410,52.8,-0.1
191411,52.7,-0.1
191412,52.9,0.0
191501,52.2,-0.6
191502,52.1,-0.7
191503,51.7,-1.1
191504,51.7,-1.2
191505,51.4,-1.5
191506,51.3,-1.6
191507,51.4,-1.5
191508,51.2,-1.7
191509,51.0,-1.9
191510,51.1,-1.8
191511,51.0,-1.8
191512,51.4,-1.5
191601,51.9,-0.9
191602,52.3,-0.5
191603,53.1,0.3
191604,53.1,0.2
191605,53.3,0.4
191606,53.5,0.6
191607,53.6,0.7
191608,53.6,0.7
191609,53.7,0.8
191610,53.6,0.7
191611,53.4,0.6
191612,53.2,0.3
191701,52.9,0.1
191702,52.5,-0.3
191703,51.9,-0.9
191704,51.7,-1.2
191705,51.3,-1.6
191706,51.1,-1.8
191707,51.3,-1.6
191708,51.4,-1.5
191709,51.5,-1.4
191710,51.6,-1.3
191711,52.0,-0.8
191712,52.5,-0.4
191801,52.3,-0.5
191802,52.5,-0.3
191803,53.1,0.3
191804,53.1,0.2
191805,53.5,0.6
191806,53.8,0.9
191807,53.7,0.8
191808,53.7,0.8
191809,53.6,0.7
191810,53.6,0.7
191811,53.1,0.3
191812,52.3,-0.6
191901,52.0,-0.8
191902,51.5,-1.3
191903,51.0,-1.8
191904,51.2,-1.7
191905,51.3,-1.6
191906,50.8,-2.1
191907,50.7,-2.2
191908,50.8,-2.1
191909,50.9,-2.0
191910,50.7,-2.2
191911,51.0,-1.8
191912,51.6,-1.3
192001,52.2,-0.6
192002,52.8,0.0
192003,52.9,0.1
192004,52.4,-0.5
192005,52.4,-0.5
192006,52.5,-0.4
192007,52.6,-0.3
192008,52.3,-0.6
192009,52.2,-0.7
192010,52.2,-0.7
192011,52.3,-0.5
192012,52.0,-0.9
192101,52.1,-0.7
192102,52.0,-0.8
192103,52.4,-0.4
192104,52.6,-0.3
192105,52.6,-0.3
192106,52.6,-0.3
192107,52.5,-0.4
192108,52.6,-0.3
192109,52.8,-0.1
192110,53.1,0.2
192111,53.4,0.6
192112,53.9,1.0
192201,53.5,0.7
192202,53.4,0.6
192203,52.9,0.1
192204,52.9,0.0
192205,53.0,0.1
192206,53.3,0.4
192207,53.5,0.6
192208,53.8,0.9
192209,53.8,0.9
192210,53.6,0.7
192211,53.3,0.5
192212,53.2,0.3
192301,53.8,1.0
192302,53.7,0.9
192303,53.6,0.8
192304,53.7,0.8
192305,53.7,0.8
192306,53.6,0.7
192307,53.6,0.7
192308,53.3,0.4
192309,52.9,0.0
192310,52.6,-0.3
192311,52.7,-0.1
192312,52.1,-0.8
192401,51.5,-1.3
192402,51.7,-1.1
192403,51.5,-1.3
192404,51.4,-1.5
192405,51.3,-1.6
192406,51.6,-1.3
192407,51.5,-1.4
192408,51.6,-1.3
192409,51.8,-1.1
192410,52.1,-0.8
192411,52.4,-0.4
192412,52.3,-0.6
192501,52.2,-0.6
192502,52.4,-0.4
192503,53.1,0.3
192504,53.5,0.6
192505,53.8,0.9
192506,53.6,0.7
192507,53.8,0.9
192508,53.5,0.6
192509,53.5,0.6
192510,53.4,0.5
192511,53.0,0.2
192512,53.2,0.3
192601,53.1,0.3
192602,53.2,0.4
192603,52.7,-0.1
192604,52.3,-0.6
192605,51.9,-1.0
192606,51.8,-1.1
192607,51.6,-1.3
192608,51.8,-1.1
192609,52.0,-0.9
192610,52.2,-0.7
192611,52.4,-0.4
192612,52.5,-0.4
192701,53.3,0.5
192702,53.3,0.5
192703,53.5,0.7
192704,53.7,0.8
192705,54.1,1.2
192706,54.0,1.1
192707,54.2,1.3
192708,54.1,1.2
192709,53.9,1.0
192710,53.7,0.8
192711,54.1,1.3
192712,53.9,1.0
192801,53.7,0.9
192802,53.3,0.5
192803,53.5,0.7
192804,53.2,0.3
192805,53.0,0.1
192806,53.1,0.2
192807,53.1,0.2
192808,53.0,0.1
192809,53.0,0.1
192810,53.1,0.2
192811,52.5,-0.3
192812,52.7,-0.2
192901,52.5,-0.3
192902,52.1,-0.7
192903,51.8,-1.0
192904,51.9,-1.0
192905,51.9,-1.0
192906,51.9,-1.0
192907,51.8,-1.1
192908,51.9,-1.0
192909,52.0,-0.9
192910,51.8,-1.1
192911,51.5,-1.3
192912,51.7,-1.2
193001,51.3,-1.5
193002,52.2,-0.6
193003,52.1,-0.7
193004,52.4,-0.5
193005,52.3,-0.6
193006,52.3,-0.6
193007,52.3,-0.6
193008,52.4,-0.5
193009,52.4,-0.5
193010,52.4,-0.5
193011,52.7,-0.1
193012,52.2,-0.7
193101,52.5,-0.3
193102,52.2,-0.6
193103,52.2,-0.6
193104,51.8,-1.1
193105,51.9,-1.0
193106,51.9,-1.0
193107,52.0,-0.9
193108,51.9,-1.0
193109,52.1,-0.8
193110,52.3,-0.6
193111,52.4,-0.4
193112,52.5,-0.4
193201,52.1,-0.7
193202,52.4,-0.4
193203,52.3,-0.5
193204,52.5,-0.4
193205,52.5,-0.4
193206,52.3,-0.6
193207,52.3,-0.6
193208,52.4,-0.5
193209,52.0,-0.9
193210,51.7,-1.2
193211,51.9,-0.9
193212,51.6,-1.3
193301,51.9,-0.9
193302,51.1,-1.7
193303,51.5,-1.3
193304,51.1,-1.8
193305,50.9,-2.0
193306,51.1,-1.8
193307,51.1,-1.8
193308,51.1,-1.8
193309,51.5,-1.4
193310,51.9,-1.0
193311,52.0,-0.8
193312,52.9,0.0
193401,53.2,0.4
193402,54.0,1.2
193403,54.1,1.3
193404,54.7,1.8
193405,55.3,2.4
193406,55.4,2.5
193407,55.6,2.7
193408,55.8,2.9
193409,55.5,2.6
193410,55.6,2.7
193411,55.5,2.7
193412,55.3,2.4
193501,55.5,2.7
193502,55.2,2.4
193503,55.1,2.3
193504,54.9,2.0
