Date,Value,Anomaly
189512,621,-196
189601,621,-194
189602,621,-194
189603,621,-194
189604,623,-192
189605,672,-144
189606,810,-6
189607,860,44
189608,908,91
189609,920,103
189610,920,103
189611,920,103
189612,920,103
189701,920,105
189702,920,105
189703,920,105
189704,920,105
189705,908,92
189706,818,2
189707,800,-16
189708,789,-28
189709,794,-23
189710,796,-21
189711,796,-21
189712,796,-21
189801,796,-19
189802,796,-19
189803,796,-19
189804,799,-16
189805,770,-46
189806,763,-53
189807,788,-28
189808,806,-11
189809,787,-30
189810,787,-30
189811,787,-30
189812,787,-30
189901,787,-28
189902,787,-28
189903,787,-28
189904,781,-34
189905,770,-46
189906,766,-50
189907,766,-50
189908,768,-49
189909,798,-19
189910,799,-18
189911,799,-18
189912,799,-18
190001,799,-16
190002,799,-16
190003,799,-16
190004,796,-19
190005,821,5
190006,882,66
190007,923,107
190008,932,115
190009,907,90
190010,907,90
190011,907,90
190012,907,90
190101,907,92
190102,907,92
190103,907,92
190104,908,93
190105,903,87
190106,840,24
190107,837,21
190108,877,60
190109,891,74
190110,891,74
190111,891,74
190112,891,74
190201,891,76
190202,891,76
190203,891,76
190204,903,88
190205,897,81
190206,1000,184
190207,909,93
190208,852,35
190209,821,4
190210,821,4
190211,821,4
190212,821,4
190301,821,6
190302,821,6
190303,821,6
190304,813,-2
190305,794,-22
190306,621,-195
190307,714,-102
190308,749,-68
190309,756,-61
190310,753,-64
190311,753,-64
190312,753,-64
190401,753,-62
190402,753,-62
190403,753,-62
190404,755,-60
190405,769,-47
190406,808,-8
190407,743,-73
190408,690,-127
190409,701,-116
190410,702,-115
190411,702,-115
190412,702,-115
190501,702,-113
190502,702,-113
190503,702,-113
190504,695,-120
190505,686,-130
190506,738,-78
190507,705,-111
190508,729,-88
190509,736,-81
190510,737,-80
190511,737,-80
190512,737,-80
190601,737,-78
190602,737,-78
190603,737,-78
190604,739,-76
190605,742,-74
190606,744,-72
190607,757,-59
190608,682,-135
190609,666,-151
190610,664,-153
190611,664,-153
190612,664,-153
190701,664,-151
190702,664,-151
190703,665,-150
190704,665,-150
190705,637,-179
190706,548,-268
190707,590,-226
190708,641,-176
190709,653,-164
190710,655,-162
190711,655,-162
190712,655,-162
190801,655,-160
190802,655,-160
190803,655,-160
190804,656,-159
190805,666,-150
190806,714,-102
190807,680,-136
190808,649,-168
190809,628,-189
190810,626,-191
190811,626,-191
190812,626,-191
190901,626,-189
190902,626,-189
190903,625,-190
190904,624,-191
190905,625,-191
190906,670,-146
190907,752,-64
190908,789,-28
190909,789,-28
190910,792,-25
190911,792,-25
190912,792,-25
191001,792,-23
191002,792,-23
191003,794,-21
191004,798,-17
191005,842,26
191006,865,49
191007,885,69
191008,939,122
191009,1003,186
191010,1003,186
191011,1003,186
191012,1003,186
191101,1003,188
191102,1003,188
191103,1001,186
191104,998,183
191105,981,165
191106,936,120
191107,812,-4
191108,791,-26
191109,800,-17
191110,798,-19
191111,798,-19
191112,798,-19
191201,798,-17
191202,798,-17
191203,798,-17
191204,795,-20
191205,785,-31
191206,751,-65
191207,806,-10
191208,764,-53
191209,671,-146
191210,670,-147
191211,670,-147
191212,670,-147
191301,670,-145
191302,670,-145
191303,670,-145
191304,671,-144
191305,680,-136
191306,655,-161
191307,666,-150
191308,683,-134
191309,673,-144
191310,674,-143
191311,674,-143
191312,674,-143
191401,674,-141
191402,674,-141
191403,674,-141
191404,676,-139
191405,669,-147
191406,732,-84
191407,664,-152
191408,642,-175
191409,709,-108
191410,710,-107
191411,710,-107
191412,710,-107
191501,710,-105
191502,710,-105
191503,710,-105
191504,709,-106
191505,686,-130
191506,670,-146
191507,719,-97
191508,683,-134
191509,646,-171
191510,646,-171
191511,646,-171
191512,646,-171
191601,646,-169
191602,646,-169
191603,647,-168
191604,647,-168
191605,667,-149
191606,703,-113
191607,713,-103
191608,735,-82
191609,744,-73
191610,744,-73
191611,744,-73
191612,744,-73
191701,744,-71
191702,744,-71
191703,743,-72
191704,742,-73
191705,710,-106
191706,667,-149
191707,730,-86
191708,764,-53
191709,776,-41
191710,776,-41
191711,776,-41
191712,776,-41
191801,776,-39
191802,776,-39
191803,776,-39
191804,776,-39
191805,799,-17
191806,877,61
191807,834,18
191808,825,8
191809,813,-4
191810,815,-2
191811,815,-2
191812,815,-2
191901,815,0
191902,815,0
191903,815,0
191904,817,2
191905,828,12
191906,712,-104
191907,667,-149
191908,701,-116
191909,714,-103
191910,713,-104
191911,713,-104
191912,713,-104
192001,713,-102
192002,713,-102
192003,713,-102
192004,710,-105
192005,713,-103
192006,732,-84
192007,764,-52
192008,678,-139
192009,678,-139
192010,676,-141
192011,676,-141
192012,676,-141
192101,676,-139
192102,676,-139
192103,676,-139
192104,676,-139
192105,674,-142
192106,678,-138
192107,642,-174
192108,689,-128
192109,728,-89
192110,732,-85
192111,732,-85
192112,732,-85
192201,732,-83
192202,732,-83
192203,732,-83
192204,733,-82
192205,746,-70
192206,820,4
192207,907,91
192208,988,171
192209,988,171
192210,985,168
192211,985,168
192212,985,168
192301,985,170
192302,985,170
192303,985,170
192304,986,171
192305,986,170
192306,961,145
192307,927,111
192308,822,5
192309,752,-65
192310,750,-67
192311,750,-67
192312,750,-67
192401,750,-65
192402,750,-65
192403,750,-65
192404,748,-67
192405,736,-80
192406,809,-7
192407,788,-28
192408,864,47
192409,894,77
192410,898,81
192411,898,81
192412,898,81
192501,898,83
192502,898,83
192503,898,83
192504,910,95
192505,942,126
192506,875,59
192507,917,101
192508,832,15
192509,832,15
192510,830,13
192511,830,13
192512,830,13
192601,830,15
192602,830,15
192603,830,15
192604,818,3
192605,772,-44
192606,757,-59
192607,681,-135
192608,730,-87
192609,767,-50
192610,770,-47
192611,770,-47
192612,770,-47
192701,770,-45
192702,770,-45
192703,770,-45
192704,776,-39
192705,825,9
192706,802,-14
192707,863,47
192708,838,21
192709,792,-25
192710,790,-27
192711,790,-27
192712,790,-27
192801,790,-25
192802,790,-25
192803,790,-25
192804,784,-31
192805,749,-67
192806,774,-42
192807,779,-37
192808,749,-68
192809,740,-77
192810,743,-74
192811,743,-74
192812,743,-74
192901,743,-72
192902,743,-72
192903,743,-72
192904,747,-68
192905,739,-77
192906,754,-62
192907,720,-96
192908,747,-70
192909,768,-49
192910,764,-53
192911,764,-53
192912,764,-53
193001,764,-51
193002,764,-51
193003,764,-51
193004,773,-42
193005,761,-55
193006,766,-50
193007,754,-62
193008,787,-30
193009,787,-30
193010,787,-30
193011,787,-30
193012,787,-30
193101,787,-28
193102,787,-28
193103,787,-28
193104,775,-40
193105,786,-30
193106,785,-31
193107,822,6
193108,779,-38
193109,830,13
193110,836,19
193111,836,19
193112,836,19
193201,836,21
193202,836,21
193203,836,21
193204,838,23
193205,840,24
193206,784,-32
193207,770,-46
193208,816,-1
193209,735,-82
193210,727,-90
193211,727,-90
193212,727,-90
193301,727,-88
193302,727,-88
193303,727,-88
193304,724,-91
193305,709,-107
193306,733,-83
193307,755,-61
193308,739,-78
193309,827,10
193310,834,17
193311,834,17
193312,834,17
193401,834,19
193402,834,19
193403,834,19
193404,846,31
193405,930,114
193406,958,142
193407,1019,203
193408,1098,281
193409,1045,228
193410,1050,233
193411,1050,233
193412,1050,233
193501,1050,235
193502,1050,235
193503,1050,235
193504,1044,229
193505,956,140
193506,947,131
193507,895,79
193508,833,16
193509,800,-17
193510,792,-25
193511,792,-25
193512,792,-25
193601,792,-23
193602,792,-23
193603,792,-23
193604,792,-23
193605,837,21
193606,869,53
193607,842,26
193608,859,42
193609,872,55
193610,869,52
193611,869,52
193612,869,52
193701,869,54
193702,869,54
193703,869,54
193704,866,51
193705,862,46
193706,806,-10
193707,823,7
193708,865,48
193709,905,88
193710,909,92
193711,909,92
193712,909,92
193801,909,94
193802,909,94
193803,909,94
193804,909,94
193805,892,76
193806,917,101
193807,851,35
193808,804,-13
193809,765,-52
193810,766,-51
193811,766,-51
193812,766,-51
193901,766,-49
193902,766,-49
193903,766,-49
193904,767,-48
193905,787,-29
193906,807,-9
193907,862,46
193908,834,17
193909,876,59
193910,871,54
193911,871,54
193912,871,54
194001,871,56
194002,871,56
194003,871,56
194004,869,54
194005,863,47
194006,823,7
194007,841,25
194008,829,12
194009,818,1
194010,821,4
194011,821,4
194012,821,4
194101,821,6
194102,821,6
194103,821,6
194104,819,4
194105,811,-5
194106,746,-70
194107,666,-150
194108,659,-158
194109,629,-188
194110,627,-190
194111,627,-190
194112,627,-190
194201,627,-188
194202,627,-188
194203,627,-188
194204,629,-186
194205,619,-197
194206,702,-114
194207,770,-46
194208,779,-38
194209,772,-45
194210,772,-45
194211,772,-45
194212,772,-45
194301,772,-43
194302,772,-43
194303,772,-43
194304,786,-29
194305,809,-7
194306,807,-9
194307,797,-19
194308,898,81
194309,923,106
194310,923,106
194311,923,106
194312,923,106
194401,923,108
194402,923,108
194403,923,108
194404,907,92
194405,881,65
194406,861,45
194407,853,37
194408,789,-28
194409,768,-49
194410,769,-48
194411,769,-48
194412,769,-48
194501,769,-46
194502,769,-46
194503,769,-46
194504,769,-46
194505,791,-25
194506,757,-59
194507,765,-51
194508,795,-22
194509,834,17
194510,833,16
194511,833,16
194512,833,16
194601,833,18
194602,833,18
194603,833,18
194604,851,36
194605,829,13
194606,933,117
194607,944,128
194608,912,95
194609,924,107
194610,925,108
194611,925,108
194612,925,108
194701,925,110
194702,925,110
194703,925,110
194704,909,94
194705,944,128
194706,874,58
194707,910,94
194708,902,85
194709,909,92
194710,917,100
194711,917,100
194712,917,100
194801,917,102
194802,917,102
194803,917,102
194804,928,113
194805,921,105
194806,948,132
194807,923,107
194808,951,134
194809,934,117
194810,925,108
194811,925,108
194812,925,108
194901,925,110
194902,925,110
194903,925,110
194904,914,99
194905,898,82
194906,874,58
194907,847,31
194908,797,-20
194909,787,-30
194910,785,-32
194911,785,-32
194912,785,-32
195001,785,-30
195002,785,-30
195003,785,-30
195004,791,-24
195005,786,-30
195006,829,13
195007,790,-26
195008,779,-38
195009,743,-74
195010,770,-47
195011,770,-47
195012,770,-47
195101,770,-45
195102,770,-45
195103,770,-45
195104,764,-51
195105,776,-40
195106,731,-85
195107,876,60
195108,937,120
195109,996,179
195110,975,158
195111,975,158
195112,975,158
