Date,Value,Anomaly
189512,5329,437
189601,5249,354
189602,5108,215
189603,5066,172
189604,5066,175
189605,5011,120
189606,4977,86
189607,4969,78
189608,4962,71
189609,4958,68
189610,4946,56
189611,4824,-69
189612,4645,-247
189701,4803,-92
189702,4782,-111
189703,4876,-18
189704,4870,-21
189705,4871,-20
189706,4892,1
189707,4894,3
189708,4897,6
189709,4890,0
189710,4851,-39
189711,4792,-101
189712,4913,21
189801,4917,22
189802,4799,-94
189803,4779,-115
189804,4741,-150
189805,4788,-103
189806,4782,-109
189807,4779,-112
189808,4777,-114
189809,4799,-91
189810,4810,-80
189811,4959,66
189812,5112,220
189901,5100,205
189902,5327,434
189903,5267,373
189904,5322,431
189905,5340,449
189906,5339,448
189907,5340,449
189908,5340,449
189909,5316,426
189910,5308,418
189911,5204,311
189912,4999,107
190001,4798,-97
190002,4676,-217
190003,4635,-259
190004,4757,-134
190005,4711,-180
190006,4704,-187
190007,4702,-189
190008,4703,-188
190009,4730,-160
190010,4701,-189
190011,4662,-231
190012,4645,-247
190101,4704,-191
190102,4689,-204
190103,4800,-94
190104,4744,-147
190105,4750,-141
190106,4760,-131
190107,4759,-132
190108,4755,-136
190109,4742,-148
190110,4727,-163
190111,4725,-168
190112,4730,-162
190201,4749,-146
190202,4739,-154
190203,4822,-72
190204,4675,-216
190205,4682,-209
190206,4669,-222
190207,4677,-214
190208,4680,-211
190209,4705,-185
190210,4714,-176
190211,4784,-109
190212,4809,-83
190301,4828,-67
190302,5029,136
190303,4963,69
190304,5058,167
190305,5111,220
190306,5162,271
190307,5156,265
190308,5155,264
190309,5157,267
190310,5227,337
190311,5149,256
190312,5180,288
190401,5287,392
190402,4971,78
190403,4801,-93
190404,4751,-140
190405,4710,-181
190406,4690,-201
190407,4693,-198
190408,4699,-192
190409,4677,-213
190410,4665,-225
190411,4757,-136
190412,4757,-135
190501,4663,-232
190502,4886,-7
190503,4953,59
190504,5081,190
190505,5104,213
190506,5084,193
190507,5089,198
190508,5085,194
190509,5083,193
190510,5087,197
190511,5064,171
190512,5215,323
190601,5270,375
190602,5165,272
190603,5206,312
190604,5145,254
190605,5135,244
190606,5139,248
190607,5143,252
190608,5153,262
190609,5171,281
190610,5190,300
190611,5265,372
190612,4943,51
190701,4770,-125
190702,4646,-247
190703,4520,-374
190704,4497,-394
190705,4607,-284
190706,4642,-249
190707,4632,-259
190708,4626,-265
190709,4617,-273
190710,4551,-339
190711,4569,-324
190712,4655,-237
190801,4752,-143
190802,4899,6
190803,4916,22
190804,4918,27
190805,4875,-16
190806,4852,-39
190807,4855,-36
190808,4858,-33
190809,4869,-21
190810,4998,108
190811,4991,98
190812,5022,130
190901,4863,-32
190902,4874,-19
190903,5095,201
190904,5129,238
190905,5119,228
190906,5100,209
