Date,Value,Anomaly
189512,65.3,-2.4
189612,68.4,0.7
189712,66.2,-1.5
189812,66.4,-1.3
189912,67.2,-0.5
190012,68.6,0.9
190112,68.1,0.4
190212,67.9,0.2
190312,66.6,-1.1
190412,67.6,-0.1
190512,64.5,-3.2
190612,66.0,-1.7
190712,67.2,-0.5
190812,66.7,-1.0
190912,67.1,-0.6
191012,70.0,2.3
191112,66.6,-1.1
191212,65.6,-2.1
191312,65.2,-2.5
191412,66.8,-0.9
191512,65.8,-1.9
191612,68.0,0.3
191712,67.9,0.2
191812,66.4,-1.3
191912,65.2,-2.5
192012,66.3,-1.4
192112,68.8,1.1
192212,68.1,0.4
192312,65.8,-1.9
192412,67.6,-0.1
192512,68.0,0.3
192612,66.6,-1.1
192712,68.8,1.1
192812,67.4,-0.3
192912,66.3,-1.4
193012,67.2,-0.5
193112,66.5,-1.2
193212,66.2,-1.5
193312,68.3,0.6
193412,71.0,3.3
193512,67.3,-0.4
193612,68.0,0.3
193712,67.7,0.0
193812,68.0,0.3
193912,68.1,0.4
194012,67.7,0.0
194112,65.3,-2.4
194212,67.8,0.1
194312,69.2,1.5
194412,66.6,-1.1
194512,68.7,1.0
194612,68.9,1.2
194712,68.0,0.3
194812,67.6,-0.1
194912,67.0,-0.7
195012,70.8,3.1
195112,68.6,0.9
195212,67.9,0.2
195312,69.2,1.5
195412,70.6,2.9
195512,67.9,0.2
195612,69.8,2.1
195712,67.0,-0.7
195812,67.7,0.0
195912,68.4,0.7
196012,67.3,-0.4
196112,67.1,-0.6
196212,68.5,0.8
196312,69.0,1.3
196412,67.0,-0.7
196512,67.4,-0.3
196612,67.8,0.1
196712,68.3,0.6
196812,66.8,-0.9
196912,67.7,0.0
197012,67.5,-0.2
197112,67.4,-0.3
197212,68.1,0.4
197312,66.6,-1.1
197412,67.9,0.2
197512,66.7,-1.0
197612,67.3,-0.4
197712,68.8,1.1
197812,67.6,-0.1
197912,66.8,-0.9
198012,68.9,1.2
198112,69.3,1.6
198212,66.9,-0.8
198312,66.7,-1.0
198412,66.8,-0.9
198512,67.4,-0.3
198612,67.8,0.1
198712,66.7,-1.0
198812,67.7,0.0
198912,69.8,2.1
199012,68.0,0.3
199112,66.9,-0.8
199212,67.1,-0.6
199312,68.0,0.3
199412,69.7,2.0
199512,69.5,1.8
199612,70.0,2.3
199712,67.3,-0.4
199812,69.2,1.5
199912,70.0,2.3
200012,70.5,2.8
200112,69.6,1.9
200212,69.7,2.0
200312,70.9,3.2
200412,67.9,0.2
200512,69.5,1.8
200612,70.0,2.3
200712,69.1,1.4
200812,69.1,1.4
200912,69.6,1.9
201012,69.1,1.4
201112,70.3,2.6
201212,71.8,4.1
201312,68.7,1.0
201412,69.8,2.1
201512,69.2,1.5
201612,70.6,2.9
201712,71.7,4.0
201812,70.7,3.0
201912,69.2,1.5
202012,71.6,3.9
