Date,Value,Anomaly
189512,37.1,-0.9
189612,39.2,1.2
189712,38.8,0.8
189812,37.8,-0.2
189912,37.8,-0.2
190012,38.9,0.9
190112,38.7,0.7
190212,38.3,0.3
190312,36.9,-1.1
190412,38.4,0.4
190512,38.8,0.8
190612,38.4,0.4
190712,39.2,1.2
190812,37.5,-0.5
190912,37.7,-0.3
191012,39.3,1.3
191112,39.4,1.4
191212,35.9,-2.1
191312,36.8,-1.2
191412,38.9,0.9
191512,37.0,-1.0
191612,38.4,0.4
191712,37.1,-0.9
191812,38.1,0.1
191912,37.9,-0.1
192012,37.6,-0.4
192112,39.1,1.1
192212,38.3,0.3
192312,38.4,0.4
192412,36.9,-1.1
192512,38.4,0.4
192612,38.4,0.4
192712,39.1,1.1
192812,38.0,0.0
192912,37.1,-0.9
193012,37.2,-0.8
193112,38.4,0.4
193212,37.1,-0.9
193312,37.6,-0.4
193412,39.5,1.5
193512,38.8,0.8
193612,38.5,0.5
193712,37.9,-0.1
193812,38.1,0.1
193912,37.5,-0.5
194012,38.5,0.5
194112,38.8,0.8
194212,37.3,-0.7
194312,38.0,0.0
194412,37.0,-1.0
194512,37.0,-1.0
194612,38.3,0.3
194712,37.3,-0.7
194812,37.3,-0.7
194912,37.2,-0.8
195012,37.7,-0.3
195112,37.3,-0.7
195212,37.6,-0.4
195312,37.5,-0.5
195412,39.3,1.3
195512,37.2,-0.8
195612,37.0,-1.0
195712,39.2,1.2
195812,38.7,0.7
195912,37.6,-0.4
196012,37.2,-0.8
196112,37.2,-0.8
196212,38.1,0.1
196312,38.1,0.1
196412,36.4,-1.6
196512,37.8,-0.2
196612,37.4,-0.6
196712,37.8,-0.2
196812,37.2,-0.8
196912,38.7,0.7
197012,37.0,-1.0
197112,37.0,-1.0
197212,37.9,-0.1
197312,36.4,-1.6
197412,37.6,-0.4
197512,36.0,-2.0
197612,36.4,-1.6
197712,38.6,0.6
197812,38.9,0.9
197912,36.8,-1.2
198012,38.4,0.4
198112,39.4,1.4
198212,38.3,0.3
198312,38.3,0.3
198412,38.0,0.0
198512,38.3,0.3
198612,39.3,1.3
198712,37.1,-0.9
198812,37.6,-0.4
198912,38.2,0.2
199012,38.5,0.5
199112,38.1,0.1
199212,38.0,0.0
199312,38.3,0.3
199412,39.2,1.2
199512,39.1,1.1
199612,39.4,1.4
199712,38.5,0.5
199812,39.2,1.2
199912,38.7,0.7
200012,39.9,1.9
200112,39.5,1.5
200212,39.1,1.1
200312,40.1,2.1
200412,39.2,1.2
200512,39.9,1.9
200612,39.5,1.5
200712,39.2,1.2
200812,38.2,0.2
200912,38.9,0.9
201012,39.2,1.2
201112,38.9,0.9
201212,40.1,2.1
201312,38.7,0.7
201412,39.8,1.8
201512,40.7,2.7
201612,40.5,2.5
201712,41.1,3.1
201812,40.3,2.3
201912,39.7,1.7
202012,40.4,2.4
