Date,Value,Anomaly
189501,2.15,2.26
189502,2.55,2.58
189503,-0.91,-0.99
189504,0.20,-0.08
189505,6.88,6.79
189506,4.25,4.10
189507,7.24,6.91
189508,3.14,3.15
189509,-1.67,-1.49
189510,0.71,0.64
189511,2.28,2.16
189512,-0.17,-0.27
189601,-0.84,-0.73
189602,-0.56,-0.53
189603,-1.18,-1.26
189604,-1.24,-1.52
189605,-2.87,-2.96
189606,-0.88,-1.03
189607,0.64,0.31
189608,-3.26,-3.25
189609,1.00,1.18
189610,7.11,7.04
189611,-0.60,-0.72
189612,-0.27,-0.37
189701,1.76,1.87
189702,0.02,0.05
189703,1.24,1.16
189704,1.27,0.99
189705,5.96,5.87
189706,2.39,2.24
189707,1.64,1.31
189708,-0.19,-0.18
189709,2.71,2.89
189710,1.59,1.52
189711,-1.65,-1.77
189712,-0.23,-0.33
189801,0.54,0.65
189802,-1.44,-1.41
189803,-0.15,-0.23
189804,0.55,0.27
189805,-0.98,-1.07
189806,3.02,2.87
189807,2.77,2.44
189808,0.26,0.27
189809,-2.37,-2.19
189810,-2.10,-2.17
189811,0.25,0.13
189812,1.50,1.40
189901,-0.88,-0.77
189902,-0.02,0.01
189903,-0.85,-0.93
189904,-1.26,-1.54
189905,-2.45,-2.54
189906,-0.28,-0.43
189907,4.68,4.35
189908,-3.39,-3.38
189909,0.02,0.20
189910,-1.45,-1.52
189911,0.96,0.84
189912,-0.23,-0.33
190001,-0.72,-0.61
190002,-0.66,-0.63
190003,-0.56,-0.64
190004,2.46,2.18
190005,1.75,1.66
190006,-0.88,-1.03
190007,-1.43,-1.76
190008,-2.40,-2.39
190009,4.24,4.42
190010,0.00,-0.07
190011,-0.90,-1.02
190012,-1.39,-1.49
190101,-0.93,-0.82
190102,0.92,0.95
190103,-0.73,-0.81
190104,0.68,0.40
190105,0.65,0.56
190106,-2.83,-2.98
190107,-0.01,-0.34
190108,-2.56,-2.55
190109,-1.31,-1.13
190110,0.55,0.48
190111,1.72,1.60
190112,-1.15,-1.25
190201,-0.64,-0.53
190202,-1.47,-1.44
190203,-0.06,-0.14
190204,-1.98,-2.26
190205,-0.32,-0.41
190206,-2.47,-2.62
190207,-0.29,-0.62
190208,0.71,0.72
190209,-0.62,-0.44
190210,-1.30,-1.37
190211,0.52,0.40
190212,0.75,0.65
190301,-1.08,-0.97
190302,2.38,2.41
190303,0.39,0.31
190304,0.56,0.28
190305,-0.84,-0.93
190306,6.16,6.01
190307,-3.82,-4.15
190308,-1.70,-1.69
190309,-0.54,-0.36
190310,-2.06,-2.13
190311,-2.24,-2.36
190312,-1.68,-1.78
190401,-1.39,-1.28
190402,-2.59,-2.56
190403,-2.98,-3.06
190404,-2.92,-3.20
190405,-1.67,-1.76
190406,0.71,0.56
190407,-1.68,-2.01
190408,-0.53,-0.52
190409,4.86,5.04
190410,2.34,2.27
190411,-0.76,-0.88
190412,0.68,0.58
190501,1.70,1.81
190502,5.06,5.09
190503,4.15,4.07
