Date,Value,Anomaly
189501,0.72,0.61
189502,1.49,1.30
189503,1.04,0.86
189504,0.99,0.71
189505,3.19,2.94
189506,4.27,3.89
189507,6.25,5.74
189508,6.65,6.28
189509,5.41,5.18
189510,5.09,4.85
189511,5.32,5.16
189512,-0.06,-0.25
189601,-0.33,-0.44
189602,-0.48,-0.67
189603,-0.83,-1.01
189604,-1.16,-1.44
189605,-1.99,-2.24
189606,-2.08,-2.46
189607,-1.65,-2.16
189608,-2.57,-2.94
189609,0.33,0.10
189610,2.67,2.43
189611,2.19,2.03
189612,1.88,1.69
189701,2.27,2.16
189702,2.04,1.85
189703,2.24,2.06
189704,2.44,2.16
189705,4.17,3.92
189706,4.54,4.16
189707,4.62,4.11
189708,4.08,3.71
189709,4.56,4.33
189710,4.62,4.38
189711,3.60,3.44
189712,3.15,2.96
189801,3.01,2.90
189802,2.22,2.03
189803,1.94,1.76
189804,1.92,1.64
189805,1.40,1.15
189806,2.26,1.88
189807,2.95,2.44
189808,2.73,2.36
189809,-0.79,-1.02
189810,-1.41,-1.65
189811,-1.18,-1.34
189812,-0.56,-0.75
189901,-0.79,-0.90
189902,-0.72,-0.91
189903,-0.93,-1.11
189904,-1.25,-1.53
189905,-1.94,-2.19
189906,-1.84,-2.22
189907,1.56,1.05
189908,-1.13,-1.50
189909,-1.01,-1.24
189910,-1.39,-1.63
189911,-0.92,-1.08
189912,-0.90,-1.09
190001,-1.05,-1.16
190002,-1.16,-1.35
190003,-1.23,-1.41
190004,0.82,0.54
190005,1.32,1.07
190006,-0.29,-0.67
190007,-0.74,-1.25
190008,-1.46,-1.83
190009,1.41,1.18
190010,0.00,-0.24
190011,-0.30,-0.46
190012,-0.73,-0.92
190101,-0.96,-1.07
190102,-0.56,-0.75
190103,-0.75,-0.93
190104,-0.44,-0.72
190105,-0.18,-0.43
190106,-1.11,-1.49
190107,-1.00,-1.51
190108,-1.75,-2.12
190109,-2.00,-2.23
190110,-1.62,-1.86
190111,-0.88,-1.04
190112,-1.17,-1.36
190201,-1.26,-1.37
190202,-1.62,-1.81
190203,-1.47,-1.65
190204,-1.98,-2.26
190205,-1.89,-2.14
190206,-2.51,-2.89
190207,-2.35,-2.86
190208,-1.87,-2.24
190209,-1.89,-2.12
190210,-2.13,-2.37
190211,0.17,0.01
190212,0.40,0.21
190301,0.00,-0.11
190302,0.79,0.60
190303,0.84,0.66
190304,0.94,0.66
190305,0.56,0.31
190306,2.56,2.18
190307,-1.27,-1.78
190308,-1.71,-2.08
190309,-1.71,-1.94
190310,-2.22,-2.46
190311,-2.74,-2.90
190312,-3.02,-3.21
190401,-3.17,-3.28
190402,-3.71,-3.90
190403,-4.32,-4.50
190404,-4.85,-5.13
190405,-4.90,-5.15
190406,-4.16,-4.54
190407,-4.29,-4.80
190408,-4.03,-4.40
190409,1.62,1.39
190410,2.23,1.99
190411,1.75,1.59
190412,1.79,1.60
190501,2.18,2.07
190502,3.64,3.45
190503,4.65,4.47
190504,6.45,6.17
190505,6.66,6.41
190506,7.73,7.35
190507,8.18,7.67
190508,6.79,6.42
190509,6.35,6.12
190510,5.23,4.99
190511,6.76,6.60
190512,6.70,6.51
190601,6.14,6.03
190602,5.86,5.67
190603,5.55,5.37
190604,6.29,6.01
190605,6.08,5.83
190606,5.63,5.25
190607,6.58,6.07
190608,6.17,5.80
190609,5.64,5.41
190610,5.03,4.79
190611,5.36,5.20
190612,5.83,5.64
190701,5.86,5.75
190702,4.82,4.63
190703,3.53,3.35
190704,3.76,3.48
190705,4.10,3.85
190706,4.37,3.99
190707,4.23,3.72
190708,5.03,4.66
190709,3.99,3.76
190710,4.47,4.23
190711,4.48,4.32
190712,3.67,3.48
190801,3.14,3.03
190802,3.20,3.01
190803,2.31,2.13
190804,2.53,2.25
190805,2.10,1.85
190806,1.34,0.96
190807,2.03,1.52
190808,2.39,2.02
190809,-0.80,-1.03
190810,-1.19,-1.43
190811,-0.74,-0.90
190812,-0.96,-1.15
190901,-1.56,-1.67
190902,-1.59,-1.78
190903,-0.79,-0.97
190904,-0.81,-1.09
190905,-1.30,-1.55
190906,-1.71,-2.09
190907,-1.76,-2.27
190908,-1.49,-1.86
190909,-1.38,-1.61
190910,-1.66,-1.90
190911,-1.72,-1.88
190912,-1.45,-1.64
191001,-1.70,-1.81
191002,-1.75,-1.94
191003,-2.47,-2.65
191004,-2.74,-3.02
191005,-3.53,-3.78
191006,-3.83,-4.21
191007,-4.38,-4.89
191008,-4.13,-4.50
191009,-4.65,-4.88
191010,-4.54,-4.78
191011,-4.26,-4.42
191012,-4.37,-4.56
191101,-4.38,-4.49
191102,1.19,1.00
191103,0.96,0.78
191104,1.15,0.87
191105,0.91,0.66
191106,0.75,0.37
191107,2.61,2.10
191108,1.62,1.25
191109,1.45,1.22
191110,1.99,1.75
191111,1.74,1.58
191112,1.68,1.49
191201,0.95,0.84
191202,1.16,0.97
191203,1.51,1.33
191204,1.86,1.58
191205,1.50,1.25
191206,2.04,1.66
191207,1.90,1.39
191208,1.91,1.54
191209,1.55,1.32
191210,1.31,1.07
191211,0.80,0.64
191212,0.70,0.51
191301,0.59,0.48
191302,1.11,0.92
191303,1.08,0.90
191304,1.70,1.42
191305,1.03,0.78
191306,2.10,1.72
191307,-0.90,-1.41
191308,-1.46,-1.83
191309,0.54,0.31
191310,0.22,-0.02
191311,0.82,0.66
191312,1.49,1.30
191401,-0.45,-0.56
191402,-0.63,-0.82
191403,-0.79,-0.97
191404,0.43,0.15
191405,1.56,1.31
191406,1.95,1.57
191407,3.95,3.44
191408,3.58,3.21
191409,2.41,2.18
191410,3.21,2.97
191411,2.65,2.49
191412,3.60,3.41
191501,3.66,3.55
191502,3.86,3.67
191503,4.31,4.13
191504,6.10,5.82
191505,6.39,6.14
191506,6.57,6.19
191507,7.59,7.08
191508,6.76,6.39
191509,6.73,6.50
191510,5.43,5.19
191511,4.45,4.29
191512,4.12,3.93
191601,4.81,4.70
191602,3.78,3.59
191603,3.36,3.18
191604,3.65,3.37
191605,2.87,2.62
191606,1.91,1.53
191607,1.86,1.35
191608,2.38,2.01
191609,1.58,1.35
191610,2.76,2.52
191611,-0.19,-0.35
191612,-0.37,-0.56
191701,-0.12,-0.23
191702,-0.26,-0.45
191703,-0.51,-0.69
191704,-0.57,-0.85
191705,-0.24,-0.49
191706,-0.99,-1.37
191707,-1.85,-2.36
191708,-1.92,-2.29
191709,-1.99,-2.22
191710,-2.65,-2.89
191711,-3.00,-3.16
191712,-3.55,-3.74
191801,-2.83,-2.94
191802,-2.76,-2.95
191803,-2.69,-2.87
191804,-2.68,-2.96
191805,-3.19,-3.44
191806,-3.28,-3.66
191807,-3.13,-3.64
191808,-3.18,-3.55
191809,-3.55,-3.78
191810,0.53,0.29
191811,1.19,1.03
191812,1.85,1.66
191901,1.38,1.27
191902,1.50,1.31
191903,2.90,2.72
191904,4.13,3.85
191905,5.09,4.84
191906,5.99,5.61
191907,7.08,6.57
191908,6.03,5.66
191909,6.68,6.45
191910,6.24,6.00
191911,6.01,5.85
191912,5.27,5.08
192001,5.09,4.98
192002,4.71,4.52
192003,4.33,4.15
192004,4.31,4.03
192005,4.55,4.30
192006,5.01,4.63
192007,-0.44,-0.95
192008,-0.16,-0.53
192009,-0.60,-0.83
192010,-0.09,-0.33
192011,-0.46,-0.62
192012,-0.77,-0.96
192101,-0.93,-1.04
192102,-1.12,-1.31
192103,-1.45,-1.63
192104,-1.88,-2.16
192105,0.22,-0.03
192106,1.54,1.16
192107,3.08,2.57
192108,2.87,2.50
192109,-0.86,-1.09
192110,-1.55,-1.79
192111,-2.00,-2.16
192112,-2.26,-2.45
192201,-2.18,-2.29
192202,-2.22,-2.41
192203,-1.99,-2.17
192204,-1.30,-1.58
192205,-1.58,-1.83
192206,-1.86,-2.24
192207,-2.77,-3.28
192208,-3.73,-4.10
192209,-4.25,-4.48
192210,-4.51,-4.75
192211,-3.62,-3.78
192212,-3.84,-4.03
192301,-4.04,-4.15
192302,0.52,0.33
192303,0.73,0.55
192304,1.23,0.95
192305,-0.60,-0.85
192306,-0.83,-1.21
192307,-1.22,-1.73
192308,0.85,0.48
192309,1.01,0.78
192310,2.01,1.77
192311,2.74,2.58
