Date,Value,Anomaly
189501,0.72,0.45
189502,1.49,1.28
189503,1.04,0.86
189504,0.99,0.73
189505,3.19,2.93
189506,4.27,4.00
189507,6.25,5.85
189508,6.65,6.37
189509,5.41,5.21
189510,5.09,4.86
189511,5.32,5.04
189512,4.71,4.40
189601,3.95,3.68
189602,3.36,3.15
189603,2.62,2.44
189604,1.93,1.67
189605,0.78,0.52
189606,-2.08,-2.35
189607,-1.65,-2.05
189608,-2.57,-2.85
189609,-1.97,-2.17
189610,2.67,2.44
189611,2.19,1.91
189612,1.88,1.57
189701,2.27,2.00
189702,2.04,1.83
189703,2.24,2.06
189704,2.44,2.18
189705,4.17,3.91
189706,4.54,4.27
189707,4.62,4.22
189708,4.08,3.80
189709,4.56,4.36
189710,4.62,4.39
189711,3.60,3.32
189712,3.15,2.84
189801,3.01,2.74
189802,2.22,2.01
189803,1.94,1.76
189804,1.92,1.66
189805,1.40,1.14
189806,2.26,1.99
189807,2.95,2.55
189808,2.73,2.45
189809,1.66,1.46
189810,0.79,0.56
189811,0.79,0.51
189812,1.21,0.90
189901,0.79,0.52
189902,0.70,0.49
189903,-0.93,-1.11
189904,-1.25,-1.51
189905,-1.94,-2.20
189906,-1.84,-2.11
189907,1.56,1.16
189908,-1.13,-1.41
189909,-1.01,-1.21
189910,-1.39,-1.62
189911,-0.92,-1.20
189912,-0.90,-1.21
190001,-1.05,-1.32
190002,-1.16,-1.37
190003,-1.23,-1.41
190004,0.82,0.56
190005,1.32,1.06
190006,0.89,0.62
190007,-0.74,-1.14
190008,-1.46,-1.74
190009,1.41,1.21
190010,1.27,1.04
190011,0.84,0.56
190012,-0.73,-1.04
190101,-0.96,-1.23
190102,-0.56,-0.77
190103,-0.75,-0.93
190104,-0.44,-0.70
190105,-0.18,-0.44
190106,-1.11,-1.38
190107,-1.00,-1.40
190108,-1.75,-2.03
190109,-2.00,-2.20
190110,-1.62,-1.85
190111,-0.88,-1.16
190112,-1.17,-1.48
190201,-1.26,-1.53
190202,-1.62,-1.83
190203,-1.47,-1.65
190204,-1.98,-2.24
190205,-1.89,-2.15
190206,-2.51,-2.78
190207,-2.35,-2.75
190208,-1.87,-2.15
190209,-1.89,-2.09
190210,-2.13,-2.36
190211,-1.74,-2.02
190212,-1.31,-1.62
190301,-1.53,-1.80
190302,-0.58,-0.79
190303,0.84,0.66
190304,0.94,0.68
190305,0.56,0.30
190306,2.56,2.29
190307,1.02,0.62
190308,-1.71,-1.99
190309,-1.71,-1.91
190310,-2.22,-2.45
190311,-2.74,-3.02
190312,-3.02,-3.33
190401,-3.17,-3.44
190402,-3.71,-3.92
190403,-4.32,-4.50
190404,-4.85,-5.11
190405,-4.90,-5.16
190406,-4.16,-4.43
190407,-4.29,-4.69
190408,-4.03,-4.31
190409,-1.99,-2.19
190410,-1.01,-1.24
190411,-1.16,-1.44
190412,-0.81,-1.12
190501,2.18,1.91
190502,3.64,3.43
190503,4.65,4.47
190504,6.45,6.19
190505,6.66,6.40
190506,7.73,7.46
190507,8.18,7.78
190508,6.79,6.51
190509,6.35,6.15
190510,5.23,5.00
190511,6.76,6.48
190512,6.70,6.39
190601,6.14,5.87
190602,5.86,5.65
190603,5.55,5.37
190604,6.29,6.03
190605,6.08,5.82
190606,5.63,5.36
190607,6.58,6.18
190608,6.17,5.89
190609,5.64,5.44
190610,5.03,4.80
190611,5.36,5.08
190612,5.83,5.52
190701,5.86,5.59
190702,4.82,4.61
190703,3.53,3.35
190704,3.76,3.50
190705,4.10,3.84
190706,4.37,4.10
190707,4.23,3.83
190708,5.03,4.75
190709,3.99,3.79
190710,4.47,4.24
190711,4.48,4.20
190712,3.67,3.36
190801,3.14,2.87
190802,3.20,2.99
190803,2.31,2.13
190804,2.53,2.27
190805,2.10,1.84
190806,1.34,1.07
190807,2.03,1.63
190808,2.39,2.11
190809,1.34,1.14
190810,0.73,0.50
190811,0.98,0.70
190812,0.58,0.27
190901,-1.56,-1.83
190902,-1.59,-1.80
190903,-0.79,-0.97
190904,-0.81,-1.07
190905,-1.30,-1.56
190906,-1.71,-1.98
190907,-1.76,-2.16
190908,-1.49,-1.77
190909,-1.38,-1.58
190910,-1.66,-1.89
190911,-1.72,-2.00
190912,-1.45,-1.76
191001,-1.70,-1.97
191002,-1.75,-1.96
191003,-2.47,-2.65
191004,-2.74,-3.00
191005,-3.53,-3.79
191006,-3.83,-4.10
191007,-4.38,-4.78
191008,-4.13,-4.41
191009,-4.65,-4.85
191010,-4.54,-4.77
191011,-4.26,-4.54
191012,-4.37,-4.68
191101,-4.38,-4.65
191102,-2.74,-2.95
191103,-2.56,-2.74
191104,-2.01,-2.27
191105,-1.92,-2.18
191106,-1.79,-2.06
191107,2.61,2.21
191108,1.62,1.34
191109,1.45,1.25
191110,1.99,1.76
191111,1.74,1.46
191112,1.68,1.37
191201,0.95,0.68
191202,1.16,0.95
191203,1.51,1.33
191204,1.86,1.60
191205,1.50,1.24
191206,2.04,1.77
191207,1.90,1.50
191208,1.91,1.63
191209,1.55,1.35
191210,1.31,1.08
191211,0.80,0.52
191212,0.70,0.39
191301,0.59,0.32
191302,1.11,0.90
191303,1.08,0.90
191304,1.70,1.44
191305,1.03,0.77
191306,2.10,1.83
191307,0.99,0.59
191308,-1.46,-1.74
191309,-0.77,-0.97
191310,-0.95,-1.18
191311,0.82,0.54
191312,1.49,1.18
191401,0.89,0.62
191402,0.57,0.36
191403,-0.79,-0.97
191404,0.43,0.17
191405,1.56,1.30
191406,1.95,1.68
191407,3.95,3.55
191408,3.58,3.30
191409,2.41,2.21
