Date,Value,Anomaly
189501,0.72,0.57
189502,1.49,1.36
189503,0.47,0.31
189504,0.48,0.20
189505,3.19,2.94
189506,4.27,3.99
189507,6.25,5.87
189508,6.65,6.29
189509,4.74,4.49
189510,4.63,4.39
189511,5.32,5.03
189512,4.59,4.30
189601,3.46,3.31
189602,2.61,2.48
189603,1.41,1.25
189604,0.29,0.01
189605,-1.77,-2.02
189606,-2.08,-2.36
189607,-1.29,-1.67
189608,-2.57,-2.93
189609,-1.48,-1.73
189610,2.67,2.43
189611,1.88,1.59
189612,1.39,1.10
189701,2.27,2.12
189702,1.98,1.85
189703,2.24,2.08
189704,2.44,2.16
189705,4.17,3.92
189706,4.54,4.26
189707,4.62,4.24
189708,3.95,3.59
189709,4.56,4.31
189710,4.62,4.38
189711,2.91,2.62
189712,2.34,2.05
189801,2.36,2.21
189802,1.01,0.88
189803,0.68,0.52
189804,0.86,0.58
189805,0.03,-0.22
189806,1.74,1.46
189807,2.95,2.57
189808,2.73,2.37
189809,0.61,0.36
189810,-1.12,-1.36
189811,-0.92,-1.21
189812,0.10,-0.19
189901,-0.57,-0.72
189902,-0.59,-0.72
189903,-0.93,-1.09
189904,-1.25,-1.53
189905,-1.94,-2.19
189906,-1.84,-2.12
189907,1.56,1.18
189908,-1.13,-1.49
189909,-0.89,-1.14
189910,-1.39,-1.63
189911,-0.30,-0.59
189912,-0.35,-0.64
190001,-0.80,-0.95
190002,-1.16,-1.29
190003,-1.23,-1.39
190004,0.82,0.54
190005,1.32,1.07
190006,0.29,0.01
190007,-0.74,-1.12
190008,-1.46,-1.82
190009,1.41,1.16
190010,1.19,0.95
190011,0.18,-0.11
190012,-0.73,-1.02
190101,-0.96,-1.11
190102,-0.56,-0.69
190103,-0.75,-0.91
190104,-0.44,-0.72
190105,0.44,0.19
190106,-1.11,-1.39
190107,-0.90,-1.28
190108,-1.75,-2.11
190109,-2.00,-2.25
190110,-1.30,-1.54
190111,0.29,0.00
190112,-0.51,-0.80
190201,-0.83,-0.98
190202,-1.62,-1.75
190203,-1.43,-1.59
190204,-1.98,-2.26
190205,-1.89,-2.14
190206,-2.51,-2.79
190207,-2.35,-2.73
190208,-1.50,-1.86
190209,-1.72,-1.97
190210,-2.13,-2.37
190211,-1.43,-1.72
190212,-0.61,-0.90
190301,-1.26,-1.41
190302,0.75,0.62
190303,0.84,0.68
190304,0.94,0.66
190305,0.56,0.31
190306,2.56,2.28
190307,-0.67,-1.05
190308,-1.71,-2.07
190309,-1.71,-1.96
190310,-2.22,-2.46
190311,-2.74,-3.03
190312,-3.02,-3.31
190401,-3.17,-3.32
190402,-3.71,-3.84
190403,-4.32,-4.48
190404,-4.85,-5.13
190405,-4.90,-5.15
190406,-3.84,-4.12
190407,-4.29,-4.67
190408,-4.03,-4.39
190409,-0.06,-0.31
190410,1.73,1.49
190411,1.14,0.85
190412,1.55,1.26
190501,2.18,2.03
190502,3.64,3.51
190503,4.65,4.49
190504,6.45,6.17
190505,6.66,6.41
190506,7.73,7.45
190507,8.18,7.80
190508,6.14,5.78
190509,5.94,5.69
190510,4.26,4.02
190511,6.76,6.47
190512,6.70,6.41
190601,6.14,5.99
190602,5.86,5.73
190603,5.55,5.39
190604,6.29,6.01
190605,6.08,5.83
190606,5.63,5.35
190607,6.58,6.20
190608,6.17,5.81
190609,5.64,5.39
190610,4.94,4.70
190611,5.36,5.07
190612,5.83,5.54
190701,5.86,5.71
190702,4.28,4.15
190703,2.08,1.92
190704,2.93,2.65
190705,3.98,3.73
190706,4.37,4.09
190707,4.23,3.85
190708,5.03,4.67
190709,3.34,3.09
190710,4.47,4.23
190711,4.48,4.19
190712,3.21,2.92
190801,2.47,2.32
190802,2.90,2.77
190803,1.34,1.18
190804,2.04,1.76
190805,1.39,1.14
190806,0.04,-0.24
190807,1.52,1.14
190808,2.39,2.03
190809,0.22,-0.03
190810,-0.97,-1.21
190811,-0.25,-0.54
190812,-0.93,-1.22
190901,-1.56,-1.71
190902,-1.59,-1.72
190903,0.27,0.11
190904,0.10,-0.18
190905,-1.12,-1.37
190906,-1.71,-1.99
190907,-1.76,-2.14
190908,-1.27,-1.63
190909,-1.16,-1.41
190910,-1.66,-1.90
190911,-1.72,-2.01
190912,-1.24,-1.53
191001,-1.70,-1.85
191002,-1.75,-1.88
191003,-2.47,-2.63
191004,-2.74,-3.02
191005,-3.53,-3.78
191006,-3.83,-4.11
191007,-4.38,-4.76
191008,-4.13,-4.49
191009,-4.65,-4.90
191010,-4.54,-4.78
191011,-4.26,-4.55
191012,-4.37,-4.66
191101,-4.38,-4.53
191102,-1.33,-1.46
191103,-1.26,-1.42
191104,-0.40,-0.68
191105,-0.47,-0.72
191106,-0.42,-0.70
191107,2.61,2.23
191108,0.63,0.27
191109,0.44,0.19
191110,1.76,1.52
191111,1.40,1.11
191112,1.41,1.12
191201,-0.05,-0.20
191202,0.51,0.38
191203,1.31,1.15
191204,1.86,1.58
191205,1.19,0.94
191206,2.04,1.76
191207,1.90,1.52
191208,1.91,1.55
191209,1.24,0.99
191210,0.82,0.58
191211,-0.25,-0.54
191212,-0.35,-0.64
191301,-0.48,-0.63
191302,0.65,0.52
191303,0.64,0.48
191304,1.70,1.42
191305,0.23,-0.02
191306,2.10,1.82
191307,-0.31,-0.69
191308,-1.46,-1.82
