Date,Value,Anomaly
189512,16.53,2.54
189601,16.10,2.10
189602,15.55,1.55
189603,15.64,1.63
189604,15.83,1.83
189605,13.26,-0.72
189606,13.15,-0.84
189607,11.69,-2.30
189608,9.82,-4.17
189609,11.26,-2.70
189610,14.02,0.04
189611,12.97,-1.02
189612,13.13,-0.86
189701,13.85,-0.15
189702,14.00,0.00
189703,14.69,0.68
189704,15.14,1.14
189705,18.01,4.03
189706,18.22,4.23
189707,18.08,4.09
189708,19.06,5.07
189709,19.73,5.77
189710,17.48,3.50
189711,17.47,3.48
189712,17.44,3.45
189801,17.16,3.16
189802,17.01,3.01
189803,16.59,2.58
189804,16.86,2.86
189805,14.74,0.76
189806,15.98,1.99
189807,16.90,2.91
189808,17.34,3.35
189809,15.17,1.21
189810,13.69,-0.29
189811,14.14,0.15
189812,14.78,0.79
189901,14.26,0.26
189902,14.34,0.34
189903,14.20,0.19
189904,13.46,-0.54
189905,12.81,-1.17
189906,11.47,-2.52
189907,12.21,-1.78
189908,10.74,-3.25
189909,11.89,-2.07
189910,12.16,-1.82
189911,12.59,-1.40
189912,12.02,-1.97
190001,12.36,-1.64
190002,12.38,-1.62
190003,12.63,-1.38
190004,13.81,-0.19
190005,15.28,1.30
190006,15.22,1.23
190007,13.05,-0.94
190008,13.49,-0.50
190009,15.20,1.24
190010,15.77,1.79
190011,15.18,1.19
190012,14.82,0.83
190101,14.73,0.73
190102,15.33,1.33
190103,15.02,1.01
190104,14.42,0.42
190105,14.43,0.45
190106,13.63,-0.36
190107,14.23,0.24
190108,14.30,0.31
190109,11.96,-2.00
190110,12.32,-1.66
190111,13.28,-0.71
190112,13.30,-0.69
190201,13.30,-0.70
190202,12.51,-1.49
190203,12.65,-1.36
190204,11.85,-2.15
190205,11.53,-2.45
190206,11.89,-2.10
190207,11.53,-2.46
190208,12.74,-1.25
190209,12.93,-1.03
190210,12.14,-1.84
190211,11.57,-2.42
190212,12.27,-1.72
190301,12.06,-1.94
190302,13.06,-0.94
190303,13.26,-0.75
190304,13.74,-0.26
190305,12.96,-1.02
190306,15.64,1.65
190307,14.16,0.17
190308,13.15,-0.84
190309,13.17,-0.79
190310,12.73,-1.25
190311,11.88,-2.11
190312,10.98,-3.01
190401,10.90,-3.10
190402,9.90,-4.10
190403,9.54,-4.47
190404,9.14,-4.86
190405,9.37,-4.61
190406,7.73,-6.26
190407,8.79,-5.20
190408,9.21,-4.78
190409,11.61,-2.35
190410,13.25,-0.73
190411,13.42,-0.57
190412,14.26,0.27
190501,15.25,1.25
190502,17.14,3.14
190503,19.03,5.02
190504,21.63,7.63
190505,21.41,7.43
190506,21.17,7.18
190507,22.13,8.14
190508,21.18,7.19
190509,19.31,5.35
190510,17.86,3.88
190511,20.55,6.56
190512,20.73,6.74
190601,19.98,5.98
190602,18.68,4.68
190603,17.35,3.34
190604,16.28,2.28
190605,16.17,2.19
190606,15.05,1.06
190607,15.89,1.90
190608,16.97,2.98
190609,16.73,2.77
190610,17.25,3.27
190611,15.81,1.82
190612,16.65,2.66
190701,17.46,3.46
190702,16.96,2.96
190703,16.25,2.24
190704,15.95,1.95
190705,16.82,2.84
190706,17.72,3.73
190707,16.38,2.39
190708,17.80,3.81
190709,17.05,3.09
190710,18.34,4.36
190711,17.83,3.84
190712,16.19,2.20
190801,15.44,1.44
190802,16.13,2.13
190803,16.30,2.29
190804,16.37,2.37
190805,15.70,1.72
190806,14.81,0.82
190807,15.70,1.71
190808,14.89,0.90
190809,14.54,0.58
190810,12.68,-1.30
190811,12.64,-1.35
190812,12.71,-1.28
190901,12.47,-1.53
190902,11.94,-2.06
190903,12.83,-1.18
190904,11.62,-2.38
190905,11.41,-2.57
190906,11.81,-2.18
190907,10.97,-3.02
190908,10.61,-3.38
190909,11.59,-2.37
190910,11.87,-2.11
190911,11.54,-2.45
190912,11.93,-2.06
191001,12.01,-1.99
191002,11.86,-2.14
191003,10.86,-3.15
191004,11.28,-2.72
191005,11.09,-2.89
191006,11.13,-2.86
